median_income,covid_cases_100k,college_degree,median_age,percent_male,avg_family_size,percent_religious,percent_elderly
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
49936,3101,26.3,39.4,48,3.15,77,16.9
68734,999,30.2,35,51,3.43,45,11.8
62283,3023,30.2,38.3,49,3.27,53,17.5
62283,2680,23.3,38.8,49,3.13,70,17
70489,2018,35,37,49,3.53,49,14.3
73034,1203,42.7,37.1,50,3.1,47,14.2
72812,1584,39.8,41.2,49,3.12,43,17.2
65012,2095,33.2,41.4,48,3.11,52,18.7
85750,2166,59.7,34.3,47,3.38,53,12.1
54644,3241,30.7,42.4,49,3.29,54,20.5
55821,2984,32.5,37.2,48,3.32,66,13.9
80108,859,33.6,39.6,49,3.57,47,18.4
58728,2297,28.7,36.9,50,3.21,51,15.9
70145,2267,35.8,38.6,49,3.23,51,15.6
59892,1742,26.9,38,49,3.15,54,15.8
68718,2712,29.3,38.5,49,2.96,55,17.1
63938,1944,34,37.2,50,3.09,55,15.9
54555,1478,25.1,39.2,49,3.06,63,16.4
49973,3544,25,37.7,48,3.27,71,15.4
58663,395,33.2,45.1,49,2.84,34,20.6
86223,2042,40.9,39,48,3.28,54,15.4
86345,1995,45,39.7,49,3.11,33,16.5
60449,1346,30,39.8,49,3.09,53,17.2
71817,1705,37.3,38.4,50,3.09,49,15.9
42781,3243,22.3,38.3,48,3.29,77,15.9
61726,1992,30.2,38.9,49,3.04,60,16.9
57679,1121,33.6,40.5,50,2.98,48,18.7
67575,2260,33.2,36.8,50,3.03,54,15.7
61864,2586,25.7,38.4,50,3.31,49,15.7
81346,599,37.6,43,50,2.98,33,18.1
74176,2277,41.2,40.2,49,3.23,55,16.1
48283,1369,27.7,38.6,49,3.28,57,17.5
67274,2328,37.8,39.2,48,3.2,46,16.4
53369,1985,32.3,39.1,48,3.11,65,16.3
66505,2727,30.4,35.5,51,2.95,58,15.3
61633,1283,29.3,39.6,49,3.03,58,17.1
54434,2276,26.2,39.6,49,3.18,66,15.7
69165,778,34.5,39.7,49,3.07,48,17.6
64524,1212,32.3,40.8,49,3.02,53,18.2
62266,2287,34.8,40.1,49,3.19,49,17.2
57444,2857,29.6,39.9,48,3.14,70,17.7
59463,2395,29.7,37.7,50,3.01,59,16.6
56060,2820,28.7,39,48,3.1,73,16.4
59785,2555,30.8,35.1,49,3.46,64,12.6
77067,2200,34.8,31.2,50,3.56,64,11.1
70066,278,38.7,42.8,49,2.86,34,19.4
77151,1716,39.6,38.5,58,3.18,61,15.4
79726,1139,37,37.9,50,3.09,45,15.4
50573,839,21.1,42.9,49,2.93,69,19.9
62629,2068,31.3,39.9,50,2.99,45,17
62539,946,29.1,38.1,51,2.95,54,16.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
